[04Jul2025 00:08:38.617] [Server thread/WARN] [tombstone/]: The death event of the player elpepe was canceled by another mod
[04Jul2025 00:08:38.620] [Server thread/INFO] [tombstone/]: The player elpepe has successfully been saved
[04Jul2025 00:09:14.695] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: elpepe burned to death
[04Jul2025 00:13:35.714] [Server thread/WARN] [tombstone/]: The death event of the player elpepe was canceled by another mod
[04Jul2025 00:13:35.716] [Server thread/INFO] [tombstone/]: The player elpepe has successfully been saved
[04Jul2025 00:13:58.940] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: elpepe was slain by Umvuthi, the Sunbird
[04Jul2025 00:14:20.163] [Server thread/INFO] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: elpepe lost connection: Timed out
[04Jul2025 00:14:20.163] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: elpepe left the game
[04Jul2025 00:15:00.969] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: elpepe[/100.71.192.84:64772] logged in with entity id 118762 at (-2161.5, 78.0, 1752.5)
[04Jul2025 00:15:00.976] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: elpepe joined the game
[04Jul2025 00:17:32.596] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: Misterchuwa[/100.99.92.13:55991] logged in with entity id 119591 at (-255.21041849040378, 66.0, 1165.8965891161936)
[04Jul2025 00:17:32.602] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Misterchuwa joined the game
[04Jul2025 00:17:32.694] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119633, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:33.377] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['Skeleton demonio arquero'/119691, l='ServerLevel[world]', x=-98.50, y=76.00, z=1079.50].
[04Jul2025 00:17:33.377] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119692, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:33.378] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119692, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:33.378] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['Skeleton demonio arquero'/119692, l='ServerLevel[world]', x=-102.50, y=76.00, z=1078.50].
[04Jul2025 00:17:33.378] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119693, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:33.379] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119693, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:33.380] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['skeleton demoniaco'/119693, l='ServerLevel[world]', x=-101.50, y=69.00, z=1081.50].
[04Jul2025 00:17:33.380] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119694, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:33.381] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119694, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:33.382] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['skeleton demoniaco'/119694, l='ServerLevel[world]', x=-99.50, y=69.00, z=1080.50].
[04Jul2025 00:17:33.382] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119695, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:33.383] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119695, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:33.383] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['skeleton demoniaco'/119695, l='ServerLevel[world]', x=-99.50, y=69.00, z=1081.50].
[04Jul2025 00:18:30.802] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <Misterchuwa> gg
[04Jul2025 00:21:44.070] [Server thread/WARN] [tombstone/]: The death event of the player elpepe was canceled by another mod
[04Jul2025 00:21:44.083] [Server thread/INFO] [tombstone/]: The player elpepe has successfully been saved
[04Jul2025 00:22:08.528] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: elpepe was slain by Umvuthana
